onet_soc,bls_soc
17-3011.00,17-3011-00
45-1011.00,45-1011-00
35-3023.01,35-3023-01
49-9052.00,49-9052-00
43-5011.00,43-5011-00
25-9021.00,25-9021-00
33-9021.00,33-9021-00
19-2021.00,19-2021-00
29-1125.00,29-1125-00
29-1299.02,29-1299-02
43-9051.00,43-9051-00
29-2011.01,29-2011-01
29-1122.00,29-1122-00
31-1133.00,31-1133-00
29-1229.03,29-1229-03
13-1131.00,13-1131-00
17-2199.06,17-2199-06
29-1011.00,29-1011-00
17-2111.00,17-2111-00
53-3032.00,53-3032-00
53-6051.07,53-6051-07
51-9051.00,51-9051-00
19-4012.01,19-4012-01
29-9092.00,29-9092-00
13-1021.00,13-1021-00
53-1043.00,53-1043-00
35-3031.00,35-3031-00
29-1023.00,29-1023-00
39-5011.00,39-5011-00
31-9011.00,31-9011-00
31-9097.00,31-9097-00
29-9021.00,29-9021-00
39-3031.00,39-3031-00
11-9121.02,11-9121-02
51-9071.00,51-9071-00
23-1012.00,23-1012-00
35-1011.00,35-1011-00
17-3024.00,17-3024-00
29-2061.00,29-2061-00
39-2021.00,39-2021-00
33-9093.00,33-9093-00
11-9013.00,11-9013-00
49-2096.00,49-2096-00
25-2031.00,25-2031-00
47-4011.01,47-4011-01
51-4193.00,51-4193-00
35-3023.00,35-3023-00
13-2099.04,13-2099-04
33-3011.00,33-3011-00
51-9012.00,51-9012-00
35-1012.00,35-1012-00
13-2081.00,13-2081-00
51-7041.00,51-7041-00
17-3029.01,17-3029-01
35-2013.00,35-2013-00
29-1024.00,29-1024-00
27-2022.00,27-2022-00
43-5071.00,43-5071-00
51-4062.00,51-4062-00
39-3011.00,39-3011-00
31-9091.00,31-9091-00
47-2111.00,47-2111-00
49-9062.00,49-9062-00
19-1041.00,19-1041-00
27-2042.00,27-2042-00
39-5094.00,39-5094-00
53-6031.00,53-6031-00
17-2072.01,17-2072-01
29-2032.00,29-2032-00
47-4041.00,47-4041-00
13-1075.00,13-1075-00
27-1021.00,27-1021-00
27-1025.00,27-1025-00
43-3071.00,43-3071-00
11-3071.04,11-3071-04
51-7031.00,51-7031-00
11-9033.00,11-9033-00
19-4051.02,19-4051-02
43-5041.00,43-5041-00
17-2121.00,17-2121-00
17-1022.00,17-1022-00
33-9091.00,33-9091-00
53-3054.00,53-3054-00
31-2012.00,31-2012-00
11-1031.00,11-1031-00
17-1022.01,17-1022-01
29-2099.01,29-2099-01
29-1124.00,29-1124-00
39-3092.00,39-3092-00
11-9131.00,11-9131-00
25-2056.00,25-2056-00
49-3023.00,49-3023-00
51-9032.00,51-9032-00
53-7081.00,53-7081-00
51-4041.00,51-4041-00
49-2092.00,49-2092-00
35-3011.00,35-3011-00
13-1041.01,13-1041-01
53-5031.00,53-5031-00
33-3021.00,33-3021-00
19-1042.00,19-1042-00
39-7011.00,39-7011-00
51-9081.00,51-9081-00
47-2142.00,47-2142-00
13-1041.04,13-1041-04
29-1241.00,29-1241-00
51-8012.00,51-8012-00
53-6021.00,53-6021-00
17-2112.03,17-2112-03
