onet_soc_code,total_task_importance,ai_task_importance,api_usage_count,A_MEAN,A_MEDIAN,TOT_EMP,onet_occupation_title,job_zone,ai_exposure,usage_per_worker,wage_bill,wage_share,emp_share
29-1024.00,52.58,4.69,22.0,258660.0,,760.0,Prosthodontists,5.0,0.0891974134651959,0.02894736842105263,196581600.0,1.682621693639423e-05,5.222832132952415e-06
29-1031.00,97.96,23.16,502.0,74770.0,73850.0,76570.0,Dietitians and Nutritionists,5.0,0.23642302980808494,0.006556092464411649,5725138900.0,0.0004900378729361723,0.0005262003373949558
29-1051.00,80.98,22.169999999999998,382.0,137210.0,137480.0,328870.0,Pharmacists,5.0,0.2737713015559397,0.0011615531973120077,45124252700.0,0.0038623679175613236,0.0022600431625842904
29-1071.00,54.57,9.84,132.0,136900.0,133260.0,155540.0,Physician Assistants,5.0,0.18031885651456844,0.0008486562942008486,21293426000.0,0.0018225907470234106,0.001068893828893972
29-1122.00,70.53,9.3,44.0,98240.0,98340.0,152280.0,Occupational Therapists,5.0,0.13185878349638452,0.00028894142369319676,14959987200.0,0.0012804860169663942,0.0010464906279026233
29-1122.01,87.48,8.649999999999999,56.0,98240.0,98340.0,152280.0,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",5.0,0.09887974394147231,0.0003677436301549777,14959987200.0,0.0012804860169663942,0.0010464906279026233
29-1123.00,102.51,12.33,85.0,102400.0,101020.0,248630.0,Physical Therapists,5.0,0.12028094820017558,0.0003418734665969513,25459712000.0,0.002179200073913934,0.001708622043705209
29-1124.00,98.83,4.16,17.0,110820.0,101990.0,18700.0,Radiation Therapists,3.0,0.04209248203986644,0.0009090909090909091,2072334000.0,0.00017737947726880645,0.00012850915906080284
29-1125.00,48.88,4.5,29.0,65350.0,60280.0,15060.0,Recreational Therapists,4.0,0.09206219312602291,0.0019256308100929615,984171000.0,8.423918997763802e-05,0.00010349454200297811
29-1128.00,101.8,18.95,95.0,59620.0,58160.0,8110.0,Exercise Physiologists,4.0,0.18614931237721022,0.011713933415536375,483518200.0,4.138628501291501e-05,5.573311657663695e-05
29-1129.01,98.34,7.59,62.0,73800.0,65010.0,19320.0,Art Therapists,5.0,0.07718120805369127,0.0032091097308488614,1425816000.0,0.00012204137786741931,0.00013276989053768507
