onet_soc_code,total_task_importance,ai_task_importance,api_usage_count,A_MEAN,A_MEDIAN,TOT_EMP,onet_occupation_title,job_zone,ai_exposure,usage_per_worker,wage_bill,wage_at_risk,emp_at_risk
27-4031.00,86.59,13.53,376.0,79870.0,68810.0,24460.0,"Camera Operators, Television, Video, and Film",3.0,0.15625360896177387,0.015372035977105479,1953620200.0,305260206.7906225,3821.963275204989
27-4032.00,91.81,42.94,1543.0,83530.0,70980.0,28860.0,Film and Video Editors,4.0,0.46770504302363575,0.05346500346500346,2410675800.0,1127485228.7550375,13497.967541662128
29-1011.00,50.44,9.43,43.0,91830.0,79000.0,37630.0,Chiropractors,5.0,0.18695479777954005,0.0011427052883337763,3455562900.0,646034063.183981,7035.109040444092
29-1021.00,85.97,13.46,143.0,196100.0,172790.0,113490.0,"Dentists, General",5.0,0.15656624403861813,0.0012600229095074457,22255389000.0,3484442665.3483777,17768.70303594277
29-1023.00,52.8,4.77,26.0,254620.0,,5150.0,Orthodontists,5.0,0.09034090909090908,0.005048543689320388,1311293000.0,118463401.70454544,465.25568181818176
29-1024.00,52.58,4.69,22.0,258660.0,,760.0,Prosthodontists,5.0,0.0891974134651959,0.02894736842105263,196581600.0,17534570.254849754,67.79003423354888
29-1031.00,97.96,23.16,502.0,74770.0,73850.0,76570.0,Dietitians and Nutritionists,5.0,0.23642302980808494,0.006556092464411649,5725138900.0,1353554684.8101265,18102.911392405065
29-1051.00,80.98,22.169999999999998,382.0,137210.0,137480.0,328870.0,Pharmacists,5.0,0.2737713015559397,0.0011615531973120077,45124252700.0,12353725393.418127,90035.1679427019
29-1071.00,54.57,9.84,132.0,136900.0,133260.0,155540.0,Physician Assistants,5.0,0.18031885651456844,0.0008486562942008486,21293426000.0,3839606227.597581,28046.794942275974
29-1122.00,70.53,9.3,44.0,98240.0,98340.0,152280.0,Occupational Therapists,5.0,0.13185878349638452,0.00028894142369319676,14959987200.0,1972605713.3134837,20079.455550829436
29-1122.01,87.48,8.649999999999999,56.0,98240.0,98340.0,152280.0,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",5.0,0.09887974394147231,0.0003677436301549777,14959987200.0,1479239703.7037034,15057.407407407403
29-1123.00,102.51,12.33,85.0,102400.0,101020.0,248630.0,Physical Therapists,5.0,0.12028094820017558,0.0003418734665969513,25459712000.0,3062318300.2633886,29905.452151009657
29-1124.00,98.83,4.16,17.0,110820.0,101990.0,18700.0,Radiation Therapists,3.0,0.04209248203986644,0.0009090909090909091,2072334000.0,87229681.67560457,787.1294141455023
29-1125.00,48.88,4.5,29.0,65350.0,60280.0,15060.0,Recreational Therapists,4.0,0.09206219312602291,0.0019256308100929615,984171000.0,90604940.6710311,1386.456628477905
29-1128.00,101.8,18.95,95.0,59620.0,58160.0,8110.0,Exercise Physiologists,4.0,0.18614931237721022,0.011713933415536375,483518200.0,90006580.4518664,1509.6709233791748
29-1129.01,98.34,7.59,62.0,73800.0,65010.0,19320.0,Art Therapists,5.0,0.07718120805369127,0.0032091097308488614,1425816000.0,110046201.34228188,1491.1409395973155
29-1129.02,125.15,20.36,296.0,73800.0,65010.0,19320.0,Music Therapists,4.0,0.1626847782660807,0.015320910973084885,1425816000.0,231958559.8082301,3143.0699161006787
29-1131.00,87.68,4.28,71.0,140270.0,125510.0,80630.0,Veterinarians,5.0,0.04881386861313868,0.0008805655463227087,11309970100.0,552083394.479927,3935.862226277372
29-1141.00,115.13,9.350000000000001,121.0,98430.0,93600.0,3282010.0,Registered Nurses,4.0,0.08121254234343787,3.686765122592557e-05,323048244300.0,26235569219.18701,266540.3760965865
29-1141.01,117.33,12.32,150.0,98430.0,93600.0,3282010.0,Acute Care Nurses,3.0,0.1050029830392909,4.570369986684989e-05,323048244300.0,33921029317.105602,344620.84036478313
29-1141.02,100.39,19.86,256.0,98430.0,93600.0,3282010.0,Advanced Practice Psychiatric Nurses,5.0,0.19782846897101306,7.800098110609048e-05,323048244300.0,63908139573.64279,649275.0134475545
